timestamp,component,running,pids
2026-08-05T09:10:58Z,hesai_lidar,1,3527;3538
2026-08-05T09:10:58Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:10:58Z,super_lio,1,3731
2026-08-05T09:10:58Z,body_odom_adapter,1,7559
2026-08-05T09:10:58Z,terrain_mapper,1,7565
2026-08-05T09:10:58Z,body_lattice_planner,1,7567
2026-08-05T09:10:58Z,go2_sdk2_bridge,0,
2026-08-05T09:10:58Z,go2_rl_controller,0,
2026-08-05T09:11:37Z,hesai_lidar,1,3527;3538
2026-08-05T09:11:37Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:11:37Z,super_lio,1,3731
2026-08-05T09:11:37Z,body_odom_adapter,1,7559
2026-08-05T09:11:37Z,terrain_mapper,1,7565
2026-08-05T09:11:37Z,body_lattice_planner,1,7567
2026-08-05T09:11:37Z,go2_sdk2_bridge,0,
2026-08-05T09:11:37Z,go2_rl_controller,0,
2026-08-05T09:12:19Z,hesai_lidar,1,3527;3538
2026-08-05T09:12:19Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:12:19Z,super_lio,1,3731
2026-08-05T09:12:19Z,body_odom_adapter,1,7559
2026-08-05T09:12:19Z,terrain_mapper,1,7565
2026-08-05T09:12:19Z,body_lattice_planner,1,7567
2026-08-05T09:12:19Z,go2_sdk2_bridge,0,
2026-08-05T09:12:19Z,go2_rl_controller,0,
2026-08-05T09:12:58Z,hesai_lidar,1,3527;3538
2026-08-05T09:12:58Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:12:58Z,super_lio,1,3731
2026-08-05T09:12:58Z,body_odom_adapter,1,7559
2026-08-05T09:12:58Z,terrain_mapper,1,7565
2026-08-05T09:12:58Z,body_lattice_planner,1,7567
2026-08-05T09:12:58Z,go2_sdk2_bridge,0,
2026-08-05T09:12:58Z,go2_rl_controller,0,
2026-08-05T09:13:39Z,hesai_lidar,1,3538
2026-08-05T09:13:39Z,go2_imu_bridge,0,
2026-08-05T09:13:39Z,super_lio,0,
2026-08-05T09:13:39Z,body_odom_adapter,0,
2026-08-05T09:13:39Z,terrain_mapper,0,
2026-08-05T09:13:39Z,body_lattice_planner,0,
2026-08-05T09:13:39Z,go2_sdk2_bridge,0,
2026-08-05T09:13:39Z,go2_rl_controller,0,
2026-08-05T09:14:21Z,hesai_lidar,1,3538
2026-08-05T09:14:21Z,go2_imu_bridge,0,
2026-08-05T09:14:21Z,super_lio,0,
2026-08-05T09:14:21Z,body_odom_adapter,0,
2026-08-05T09:14:21Z,terrain_mapper,0,
2026-08-05T09:14:21Z,body_lattice_planner,0,
2026-08-05T09:14:21Z,go2_sdk2_bridge,0,
2026-08-05T09:14:21Z,go2_rl_controller,0,
2026-08-05T09:15:06Z,hesai_lidar,1,3538
2026-08-05T09:15:06Z,go2_imu_bridge,0,
2026-08-05T09:15:06Z,super_lio,0,
2026-08-05T09:15:06Z,body_odom_adapter,0,
2026-08-05T09:15:06Z,terrain_mapper,0,
2026-08-05T09:15:06Z,body_lattice_planner,0,
2026-08-05T09:15:06Z,go2_sdk2_bridge,0,
2026-08-05T09:15:06Z,go2_rl_controller,0,
2026-08-05T09:15:47Z,hesai_lidar,1,3538
2026-08-05T09:15:47Z,go2_imu_bridge,0,
2026-08-05T09:15:47Z,super_lio,0,
2026-08-05T09:15:47Z,body_odom_adapter,0,
2026-08-05T09:15:47Z,terrain_mapper,0,
2026-08-05T09:15:47Z,body_lattice_planner,0,
2026-08-05T09:15:47Z,go2_sdk2_bridge,0,
2026-08-05T09:15:47Z,go2_rl_controller,0,
2026-08-05T09:16:28Z,hesai_lidar,0,
2026-08-05T09:16:28Z,go2_imu_bridge,0,
2026-08-05T09:16:28Z,super_lio,0,
2026-08-05T09:16:28Z,body_odom_adapter,0,
2026-08-05T09:16:28Z,terrain_mapper,0,
2026-08-05T09:16:28Z,body_lattice_planner,0,
2026-08-05T09:16:28Z,go2_sdk2_bridge,0,
2026-08-05T09:16:28Z,go2_rl_controller,0,
2026-08-05T09:17:11Z,hesai_lidar,1,12733;12736
2026-08-05T09:17:11Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:17:11Z,super_lio,1,12843;12844
2026-08-05T09:17:11Z,body_odom_adapter,0,
2026-08-05T09:17:11Z,terrain_mapper,0,
2026-08-05T09:17:11Z,body_lattice_planner,0,
2026-08-05T09:17:11Z,go2_sdk2_bridge,0,
2026-08-05T09:17:11Z,go2_rl_controller,0,
2026-08-05T09:18:07Z,hesai_lidar,1,12733;12736
2026-08-05T09:18:07Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:18:07Z,super_lio,1,12843;12844
2026-08-05T09:18:07Z,body_odom_adapter,0,
2026-08-05T09:18:07Z,terrain_mapper,0,
2026-08-05T09:18:07Z,body_lattice_planner,0,
2026-08-05T09:18:07Z,go2_sdk2_bridge,0,
2026-08-05T09:18:07Z,go2_rl_controller,0,
2026-08-05T09:18:51Z,hesai_lidar,1,12733;12736
2026-08-05T09:18:51Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:18:51Z,super_lio,1,12843;12844
2026-08-05T09:18:51Z,body_odom_adapter,0,
2026-08-05T09:18:51Z,terrain_mapper,0,
2026-08-05T09:18:51Z,body_lattice_planner,0,
2026-08-05T09:18:51Z,go2_sdk2_bridge,0,
2026-08-05T09:18:51Z,go2_rl_controller,0,
2026-08-05T09:19:34Z,hesai_lidar,1,12733;12736
2026-08-05T09:19:34Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:19:34Z,super_lio,1,12843;12844
2026-08-05T09:19:34Z,body_odom_adapter,0,
2026-08-05T09:19:34Z,terrain_mapper,0,
2026-08-05T09:19:34Z,body_lattice_planner,0,
2026-08-05T09:19:34Z,go2_sdk2_bridge,0,
2026-08-05T09:19:34Z,go2_rl_controller,0,
2026-08-05T09:20:18Z,hesai_lidar,1,12733;12736
2026-08-05T09:20:18Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:20:18Z,super_lio,1,12843;12844
2026-08-05T09:20:18Z,body_odom_adapter,0,
2026-08-05T09:20:18Z,terrain_mapper,0,
2026-08-05T09:20:18Z,body_lattice_planner,0,
2026-08-05T09:20:18Z,go2_sdk2_bridge,0,
2026-08-05T09:20:18Z,go2_rl_controller,0,
2026-08-05T09:21:11Z,hesai_lidar,1,12733;12736
2026-08-05T09:21:11Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:21:11Z,super_lio,1,12843;12844
2026-08-05T09:21:11Z,body_odom_adapter,0,
2026-08-05T09:21:11Z,terrain_mapper,0,
2026-08-05T09:21:11Z,body_lattice_planner,0,
2026-08-05T09:21:11Z,go2_sdk2_bridge,0,
2026-08-05T09:21:11Z,go2_rl_controller,0,
2026-08-05T09:21:55Z,hesai_lidar,1,12733;12736
2026-08-05T09:21:55Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:21:55Z,super_lio,1,12843;12844
2026-08-05T09:21:55Z,body_odom_adapter,1,14607
2026-08-05T09:21:55Z,terrain_mapper,1,14620
2026-08-05T09:21:55Z,body_lattice_planner,1,14627
2026-08-05T09:21:55Z,go2_sdk2_bridge,0,
2026-08-05T09:21:55Z,go2_rl_controller,0,
2026-08-05T09:22:36Z,hesai_lidar,1,12733;12736
2026-08-05T09:22:36Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:22:36Z,super_lio,1,12843;12844
2026-08-05T09:22:36Z,body_odom_adapter,1,14607
2026-08-05T09:22:36Z,terrain_mapper,1,14620
2026-08-05T09:22:36Z,body_lattice_planner,1,14627
2026-08-05T09:22:36Z,go2_sdk2_bridge,0,
2026-08-05T09:22:36Z,go2_rl_controller,0,
2026-08-05T09:23:15Z,hesai_lidar,1,12733;12736
2026-08-05T09:23:15Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:23:15Z,super_lio,1,12843;12844
2026-08-05T09:23:15Z,body_odom_adapter,1,14607
2026-08-05T09:23:15Z,terrain_mapper,1,14620
2026-08-05T09:23:15Z,body_lattice_planner,1,14627
2026-08-05T09:23:15Z,go2_sdk2_bridge,0,
2026-08-05T09:23:15Z,go2_rl_controller,0,
2026-08-05T09:23:58Z,hesai_lidar,1,12733;12736
2026-08-05T09:23:58Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:23:58Z,super_lio,1,12843;12844
2026-08-05T09:23:58Z,body_odom_adapter,1,14607
2026-08-05T09:23:58Z,terrain_mapper,1,14620
2026-08-05T09:23:58Z,body_lattice_planner,1,14627
2026-08-05T09:23:58Z,go2_sdk2_bridge,0,
2026-08-05T09:23:58Z,go2_rl_controller,0,
2026-08-05T09:24:38Z,hesai_lidar,1,12733;12736
2026-08-05T09:24:38Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:24:38Z,super_lio,1,12843;12844
2026-08-05T09:24:38Z,body_odom_adapter,1,14607
2026-08-05T09:24:38Z,terrain_mapper,1,14620
2026-08-05T09:24:38Z,body_lattice_planner,1,14627
2026-08-05T09:24:38Z,go2_sdk2_bridge,0,
2026-08-05T09:24:38Z,go2_rl_controller,0,
2026-08-05T09:25:19Z,hesai_lidar,1,12733;12736
2026-08-05T09:25:19Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:25:19Z,super_lio,1,12843;12844
2026-08-05T09:25:19Z,body_odom_adapter,1,14607
2026-08-05T09:25:19Z,terrain_mapper,1,14620
2026-08-05T09:25:19Z,body_lattice_planner,1,14627
2026-08-05T09:25:19Z,go2_sdk2_bridge,0,
2026-08-05T09:25:19Z,go2_rl_controller,0,
2026-08-05T09:26:02Z,hesai_lidar,1,12733;12736
2026-08-05T09:26:02Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:26:02Z,super_lio,1,12843;12844
2026-08-05T09:26:02Z,body_odom_adapter,1,14607
